reach_id_v17b,group
23240600171,calibration
23240600261,validation
23240600411,calibration
23240601004,calibration
23240601044,calibration
23240601121,validation
23240601261,calibration
23240601411,calibration
23240700021,validation
23240700081,calibration
23240700181,calibration
23240700321,calibration
23240700491,calibration
23240900031,calibration
23240900154,calibration
23240900231,calibration
23250200071,calibration
23250600111,calibration
23250600351,calibration
23250600461,calibration
23250600511,calibration
23250600621,calibration
23250600634,validation
23250600641,calibration
23250600851,calibration
23250601301,validation
23250601411,calibration
23250800191,calibration
23250800411,calibration
23250800651,calibration
23250801161,calibration
23250801301,calibration
23250801441,calibration
23250801451,calibration
23261000231,validation
23261000311,calibration
23261000361,calibration
23261000431,calibration
23262000081,validation
23262000321,validation
23262000411,validation
23262000431,calibration
23262000471,calibration
23262000574,calibration
23262000721,calibration
23262000791,calibration
23262000891,calibration
23262001061,calibration
23262001104,calibration
23262001204,calibration
23262001321,calibration
23262001434,calibration
23263000051,calibration
23263000151,calibration
23264000071,calibration
23264000211,validation
23264000331,calibration
23264000611,calibration
23264000721,calibration
23265000051,validation
23266000121,calibration
23266000271,calibration
23267000031,calibration
23267000071,calibration
23267000081,calibration
23267000191,calibration
23267000591,calibration
23267000661,calibration
23268000011,calibration
23268000031,calibration
23268000081,calibration
23268000161,calibration
23268000231,calibration
23268000341,calibration
23268000351,validation
23268000461,calibration
23268000561,calibration
23268000631,calibration
23268000681,validation
23268000741,calibration
23268000891,calibration
23268000961,validation
23269000011,calibration
23269000141,calibration
23269000251,calibration
23269000361,calibration
23269000411,calibration
23269000501,validation
23269000551,validation
23269000811,calibration
23270400511,calibration
23270400621,calibration
23270600131,calibration
23270600241,calibration
23270600341,calibration
23270600361,validation
23270600461,calibration
23270600501,calibration
23270600511,calibration
23270600531,calibration
23270600671,calibration
23270600761,calibration
23270600814,calibration
23270600984,validation
23281000141,calibration
23281000221,calibration
23282000031,calibration
23282000171,calibration
23282000314,validation
23282000404,calibration
23282000491,calibration
23283000041,calibration
23283000121,validation
23283000141,calibration
23284000011,calibration
23284000054,calibration
23284000164,calibration
23285000021,calibration
23285000061,calibration
23285000111,validation
23285000181,calibration
23285000231,calibration
23285000251,calibration
23285000841,calibration
23288000151,validation
23289000411,calibration
23301400061,calibration
23301400161,calibration
23301400181,calibration
23301600091,calibration
23301800075,calibration
23301900041,validation
23301900064,validation
23301900135,calibration
23301900155,calibration
23301900224,calibration
23303100121,calibration
23303100144,calibration
23303100174,calibration
23303100191,calibration
23303100285,validation
23303100341,validation
23303100351,calibration
23303100384,validation
23303200081,validation
23303200371,calibration
23303200431,calibration
23303200464,calibration
23303200551,calibration
23303400101,calibration
23303600124,validation
23303800231,calibration
23303800291,calibration
23303800421,calibration
23303800454,calibration
23303800521,calibration
23400200031,calibration
23400200091,calibration
23400200111,calibration
23400200151,validation
23400200171,calibration
23400300114,validation
23400300401,calibration
23400400121,calibration
23400400391,calibration
23400500131,calibration
23400600191,calibration
23400900071,calibration
23400900164,calibration
23400900211,validation
24221000111,calibration
24221000131,calibration
24222100041,calibration
24222100061,calibration
24222700031,validation
24222900271,calibration
24222900351,validation
24223000051,validation
24224000031,calibration
24224000161,calibration
24225000021,calibration
24227000111,validation
24227000171,calibration
24229000041,calibration
24229000181,validation
24229000261,validation
24241000035,calibration
24244600011,validation
24244600081,calibration
24244600191,validation
24244600271,calibration
24244700011,calibration
