reach_id_v17b,station_id,basin_id,runoff_region,group,fold_id,fold_applicable,split_version,seed,n_valid_q,eligible_for_split,station_index,station_candidates_on_reach,source,river_name,lat,lon,facc,facc_bin,dist_out,network_position_bin,spatial_isolation_km,nearest_calibration_km,validation_strategy,validation_selection_order,n_calibration_gages,n_validation_gages,n_calibration_regions,gage_facc_coverage,gage_network_coverage,independent_validation_available,bias_eligible,bias_eligibility_stage,postfit_bias_checks_required,bias_ineligible_reason,identifiability_class,recommended_mode,svs_reach_variable
12499000334,A2H059,1249,124990,calibration,1,True,basin_stratified_v2,42,973,True,1974,1,DWS,NODATA,-25.20631,27.55794,14130.2315,facc_q1,1563376.2488097919,dist_q2,16.383420842169727,,dense_coverage_spatial_holdout,,6,2,2,0.7469339138237316,0.7914494557658737,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12499000494,A2H048,1249,124990,calibration,1,True,basin_stratified_v2,42,967,True,1943,1,DWS,Crocodile River,-25.57342,27.75411,4682.569869988339,facc_q0,1628620.6431026987,dist_q3,30.63953716911835,,dense_coverage_spatial_holdout,,6,2,2,0.7469339138237316,0.7914494557658737,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12499000644,A2H012,1249,124990,calibration,1,True,basin_stratified_v2,42,973,True,1864,1,DWS,Crocodile River,-25.81056,27.90983,4024.0553968201634,facc_q0,1671535.6447964374,dist_q3,30.63953716911835,,dense_coverage_spatial_holdout,,6,2,2,0.7469339138237316,0.7914494557658737,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12520600084,X3H015,1252,125206,calibration,1,True,basin_stratified_v2,42,942,True,3376,1,DWS,Sabie River,-25.14952,31.94066,7468.4929,facc_q0,307465.2220326344,dist_q0,23.88162524553533,,dense_coverage_spatial_holdout,,6,2,4,0.17338359380930674,0.2769540833463372,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12520600144,X3H021,1252,125206,validation,1,True,basin_stratified_v2,42,932,True,3381,1,DWS,Sabie River,-24.96847,31.51541,2401.366424117407,facc_q0,366796.0259308318,dist_q2,47.32978695758642,47.32978695758642,dense_coverage_spatial_holdout,1,6,2,4,0.17338359380930674,0.2769540833463372,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12520700071,X2H036,1252,125207,calibration,1,True,basin_stratified_v2,42,942,True,3358,1,DWS,Komati River,-25.43661,31.98244,22399.625,facc_q3,323860.114672335,dist_q0,3.485135347180396,,dense_coverage_spatial_holdout,,6,2,4,0.17338359380930674,0.2769540833463372,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12520800024,X2H016,1252,125208,calibration,1,True,basin_stratified_v2,42,839,True,3353,1,DWS,Crocodile River,-25.36386,31.95572,9874.657528553838,facc_q2,337382.21425308846,dist_q1,8.52305801003911,,dense_coverage_spatial_holdout,,6,2,4,0.17338359380930674,0.2769540833463372,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12520800111,X2H046,1252,125208,calibration,1,True,basin_stratified_v2,42,911,True,3359,1,DWS,Crocodile River,-25.39888,31.61055,8789.380470872962,facc_q1,415172.56160999363,dist_q3,17.419169696736123,,dense_coverage_spatial_holdout,,6,2,4,0.17338359380930674,0.2769540833463372,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12520800131,X2H097,1252,125208,calibration,1,True,basin_stratified_v2,42,779,True,3367,1,DWS,Crocodile River,-25.49786,31.47608,8469.839581298827,facc_q1,430522.31480518926,dist_q3,17.419169696736123,,dense_coverage_spatial_holdout,,6,2,4,0.17338359380930674,0.2769540833463372,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
12520900044,X1H053,1252,125209,calibration,1,True,basin_stratified_v2,42,737,True,3333,1,DWS,Komati River,-25.45125,31.95175,11121.882592829475,facc_q3,326875.11625734356,dist_q1,3.485135347180396,,dense_coverage_spatial_holdout,,6,2,4,0.17338359380930674,0.2769540833463372,True,True,pre_fit_structural_only,True,,dense_gage,bias_correlation_joint_candidate,reach_id_v17b
