v17_reach_id,v16_reach_id,reach_id
72553000043,72553000533,72553000533
72553000013,72553000563,72553000563
72551000383,72551000583,72551000583
72551000373,72551000593,72551000593
72551000353,72551000603,72551000603
72551000343,72551000613,72551000613
72551000443,72551000663,72551000663
72551000941,72551000721,72551000721
72551000954,72551000734,72551000734
72551000961,72551000741,72551000741
72551000974,72551000754,72551000754
72551000984,72551000764,72551000764
72551000991,72551000771,72551000771
72551001004,72551000784,72551000784
72551001011,72551000791,72551000791
72551001024,72551000804,72551000804
72551001033,72551000813,72551000813
72551001041,72551000841,72551000841
72551001054,72551000854,72551000854
72551001061,72551000861,72551000861
72551001074,72551000874,72551000874
72551001083,72551000883,72551000883
72551001094,72551000894,72551000894
72551001101,72551000901,72551000901
72551001114,72551000914,72551000914
72551001123,72551000943,72551000943
72551001131,72551000951,72551000951
72551001144,72551000964,72551000964
72551001151,72551000971,72551000971
72551001164,72551000984,72551000984
72551001173,72551000993,72551000993
72551001181,72551001001,72551001001
72551001194,72551001014,72551001014
72551001203,72551001023,72551001023
72551001214,72551001034,72551001034
72551001223,72551001043,72551001043
72551001234,72551001054,72551001054
72551001243,72551001063,72551001063
72551001254,72551001074,72551001074
72551001263,72551001083,72551001083
72551001274,72551001094,72551001094
72551001283,72551001103,72551001103
72551001291,72551001111,72551001111
72551001304,72551001124,72551001124
72551001313,72551001133,72551001133
72551001324,72551001144,72551001144
72551001334,72551001154,72551001154
72551001343,72551001163,72551001163
72551001354,72551001174,72551001174
72551001363,72551001183,72551001183
72551001371,72551001191,72551001191
72551001384,72551001204,72551001204
72551001391,72551001211,72551001211
72551001403,72551001223,72551001223
72551000273,72551001283,72551001283
72551000531,72551001371,72551001371
72551000544,72551001384,72551001384
72551001421,72551001391,72551001391
72551001433,72551001403,72551001403
72551001443,72551001413,72551001413
72551000553,72551001423,72551001423
72551000561,72551001431,72551001431
72551000574,72551001444,72551001444
72551000581,72551001451,72551001451
72551000591,72551001461,72551001461
72551000601,72551001471,72551001471
72551000611,72551001481,72551001481
72551000624,72551001494,72551001494
72551000631,72551001501,72551001501
72551000641,72551001511,72551001511
72551000651,72551001521,72551001521
72551000664,72551001534,72551001534
72551000671,72551001541,72551001541
72551000684,72551001554,72551001554
72551000691,72551001561,72551001561
72551001473,72551001573,72551001573
72551001484,72551001584,72551001584
72551001493,72551001593,72551001593
72551001501,72551001601,72551001601
72551001511,72551001611,72551001611
72551001521,72551001621,72551001621
72551001534,72551001634,72551001634
72551001541,72551001641,72551001641
72551001554,72551001654,72551001654
72551001561,72551001661,72551001661
72551001571,72551001671,72551001671
72551001581,72551001681,72551001681
72551001594,72551001694,72551001694
72551001604,72551001704,72551001704
72551001611,72551001711,72551001711
72551001621,72551001721,72551001721
72551000781,72551001751,72551001751
72551000794,72551001764,72551001764
72551000804,72551001774,72551001774
72551000813,72551001783,72551001783
72551000824,72551001794,72551001794
72551000831,72551001801,72551001801
72551000844,72551001814,72551001814
72551001791,72551001821,72551001821
72551001804,72551001834,72551001834
72551001811,72551001841,72551001841
72551001453,72551001853,72551001853
72551000701,72551001861,72551001861
72551000714,72551001874,72551001874
72551000724,72551001884,72551001884
72551000734,72551001894,72551001894
72551000744,72551001904,72551001904
72551000751,72551001911,72551001911
72551000764,72551001924,72551001924
72551000771,72551001931,72551001931
72551000864,72551001944,72551001944
72551000871,72551001951,72551001951
72551001786,72551001976,72551001976
72551001416,72551001986,72551001986
72551001636,72551001996,72551001996
72551001826,72551002006,72551002006
72551001466,72551002016,72551002016
72551000886,72551002026,72551002026
72554000453,72554000013,72554000013
72554000464,72554000024,72554000024
72554000473,72554000033,72554000033
72554000481,72554000041,72554000041
72554000491,72554000051,72554000051
72554000504,72554000064,72554000064
72554000511,72554000071,72554000071
72554000601,72554000081,72554000081
72554000614,72554000094,72554000094
72554000521,72554000101,72554000101
72554000534,72554000114,72554000114
72554000541,72554000121,72554000121
72554000553,72554000133,72554000133
72554000621,72554000141,72554000141
72554000633,72554000153,72554000153
72554000641,72554000161,72554000161
72554000191,72554000171,72554000171
72554000171,72554000181,72554000181
72554000161,72554000191,72554000191
72554000154,72554000204,72554000204
72554000141,72554000211,72554000211
72554000134,72554000224,72554000224
72554000121,72554000231,72554000231
72554000114,72554000244,72554000244
72554000101,72554000251,72554000251
72554000094,72554000264,72554000264
72554000651,72554000271,72554000271
72554000563,72554000283,72554000283
72554000573,72554000293,72554000293
72554000583,72554000303,72554000303
72554000211,72554000311,72554000311
72554000224,72554000324,72554000324
72554000231,72554000331,72554000331
72554000244,72554000344,72554000344
72554000081,72554000351,72554000351
72554000074,72554000364,72554000364
72554000061,72554000371,72554000371
72554000054,72554000384,72554000384
72554000041,72554000391,72554000391
72554000034,72554000404,72554000404
72554000251,72554000411,72554000411
72554000263,72554000423,72554000423
72554000273,72554000433,72554000433
72554000283,72554000443,72554000443
72554000293,72554000453,72554000453
72554000303,72554000463,72554000463
72554000313,72554000473,72554000473
72554000024,72554000484,72554000484
72554000011,72554000491,72554000491
72554000333,72554000503,72554000503
72554000343,72554000513,72554000513
72554000353,72554000523,72554000523
72554000363,72554000533,72554000533
72554000373,72554000543,72554000543
72554000383,72554000553,72554000553
72555100141,72555100561,72555100561
72555100134,72555100574,72555100574
72555100121,72555100581,72555100581
72555100114,72555100594,72555100594
72555100101,72555100601,72555100601
72555200104,72555200614,72555200614
72554000204,72554000624,72554000624
72554000596,72554000636,72554000636
72554000326,72554000646,72554000646
72554000396,72554000656,72554000656
72555100023,72555100013,72555100013
72555100013,72555100023,72555100023
72553000063,72553000033,72553000033
72553000053,72553000043,72553000043
72555100153,72555100053,72555100053
72555100163,72555100063,72555100063
72554000403,72554000073,72554000073
72554000414,72554000084,72554000084
72554000424,72554000664,72554000664
72554000434,72554000104,72554000104
72554000443,72554000113,72554000113
72555100093,72555100123,72555100123
72555100083,72555100133,72555100133
72555100073,72555100143,72555100143
72555100063,72555100153,72555100153
72555100033,72555100183,72555100183
72555200013,72555200013,72555200013
72555200023,72555200023,72555200023
72555200031,72555200031,72555200031
72555200044,72555200044,72555200044
72555200054,72555200054,72555200054
72555200061,72555200061,72555200061
72555200074,72555200074,72555200074
72555200084,72555200084,72555200084
72555200091,72555200091,72555200091
72555200111,72555200101,72555200101
72555200121,72555200111,72555200111
72555200131,72555200121,72555200121
72555200141,72555200131,72555200131
72555200151,72555200141,72555200141
72555200164,72555200154,72555200154
72555200171,72555200161,72555200161
72555200184,72555200174,72555200174
72555200191,72555200181,72555200181
72555200201,72555200191,72555200191
72555200216,72555200206,72555200206
72555300043,72555300013,72555300013
72555300053,72555300023,72555300023
72555300063,72555300033,72555300033
72555300073,72555300043,72555300043
72555300083,72555300053,72555300053
72555300093,72555300063,72555300063
72555300103,72555300073,72555300073
72555300113,72555300083,72555300083
72555300123,72555300093,72555300093
72555500013,72555500223,72555500223
72555500023,72555500233,72555500233
72555300033,72555300133,72555300133
72555300023,72555300143,72555300143
72555300013,72555300153,72555300153
72555500251,72555500241,72555500241
72555500261,72555500251,72555500251
72555300131,72555300181,72555300181
72555300144,72555300194,72555300194
72555300151,72555300201,72555300201
72555300161,72555300211,72555300211
72555300171,72555300221,72555300221
72555300181,72555300231,72555300231
72555500231,72555500051,72555500051
72555500241,72555500061,72555500061
72555500081,72555500071,72555500071
72555500093,72555500083,72555500083
72555500103,72555500093,72555500093
72555500113,72555500103,72555500103
72555500123,72555500113,72555500113
72555500153,72555500123,72555500123
72555500143,72555500133,72555500133
72555500133,72555500143,72555500143
72555500163,72555500153,72555500153
72555500171,72555500161,72555500161
